codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
NUT040,English Course 4,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
NUT041,Taller de Investigación en Nutrición 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
NUT042,Dietoterapia 1,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
NUT043,Nutrición y Deporte 1,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
NUT044,Soporte Nutricional,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
NUT045,Antropología y Nutrición,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
NUT046,Educación en Alimentación y Nutrición,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
NUT047,Electivo General 5,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
NUT048,Dietoterapia 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
NUT049,Taller de Investigación en Nutrición 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
NUT050,Nutrición y Promoción de la Salud,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
NUT051,Marco Legal y Auditoría en Alimentación y Nutrición,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
NUT052,Nutrición y Deporte 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
NUT053,Políticas Públicas y Programas en Salud y Nutrición,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
NUT054,Electivo Transversal 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
NUT055,Internado en Nutrición 1,22,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 09
NUT056,Internado en Nutrición 2,21,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 10
NUT057,Trabajo de Investigación - Nutrición y Dietética,1,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 10
